yearofregistration;yearcount
1910;46
1915;1
1919;1
1928;1
1929;3
1930;3
1931;2
1933;3
1934;3
1935;3
1936;4
1937;4
1938;3
1939;2
1940;1
1941;1
1942;1
1943;3
1945;1
1946;1
1947;3
1949;2
1950;11
1951;10
1952;4
1953;10
1954;11
1955;14
1956;14
1957;14
1958;16
1959;23
1960;118
1961;17
1962;24
1963;38
1964;39
1965;55
1966;75
1967;69
1968;79
1969;86
1970;185
1971;106
1972;125
1973;105
1974;95
1975;72
1976;94
1977;96
1978;158
1979;148
1980;317
1981;137
1982;177
1983;233
1984;226
1985;384
1986;278
1987;363
1988;500
1989;683
1990;1519
1991;1416
1992;1579
1993;1771
1994;2454
1995;4840
1996;5488
1997;7433
1998;9180
1999;11637
2000;12402
2001;10289
2002;9790
2003;10114
2004;10060
2005;11423
2006;10361
2007;9005
2008;8168
2009;7982
2010;6301
2011;6113
2012;4891
2013;3200
2014;2445
2015;1523
2016;5059
2017;5432
2018;2069
2019;13
